Date,Open,High,Low,Close,Volume,Adj Close
2012-12-03,52.14,54.90,49.56,53.63,7970500,53.43
2012-11-01,45.74,52.31,45.39,51.87,8207400,51.68
2012-10-01,50.93,51.30,44.27,45.90,10253000,45.54
2012-09-04,49.45,52.00,48.99,50.71,7637500,50.31
2012-08-01,45.47,50.06,43.04,49.61,9342000,49.22
2012-07-02,53.44,54.28,45.09,45.28,8658900,44.75
2012-06-01,53.11,55.97,51.03,53.32,8195600,52.70
2012-05-01,57.51,58.43,51.43,54.89,8386300,54.25
2012-04-02,56.03,62.00,55.96,57.37,11060200,56.52
2012-03-01,48.69,56.55,48.10,55.89,7081300,55.07
2012-02-01,48.34,49.36,47.41,48.56,4728800,47.84
2012-01-03,46.85,48.62,45.28,47.92,6424800,47.05
2011-12-01,43.20,46.50,42.67,46.01,4988100,45.17
2011-11-01,41.33,44.70,40.55,43.48,7198700,42.69
2011-10-03,36.85,43.43,35.12,42.36,7391800,41.43
2011-09-01,38.84,42.00,36.42,37.29,8596600,36.47
2011-08-01,40.44,40.77,33.72,38.62,10324400,37.77
2011-07-01,39.62,41.11,38.90,40.09,7779800,39.07
2011-06-01,36.54,39.79,34.61,39.49,6770400,38.48
2011-05-02,36.48,37.67,34.84,36.79,6266300,35.85
2011-04-01,37.25,37.66,35.00,36.20,7660700,35.15
2011-03-01,33.23,38.21,31.72,36.95,10473400,35.88
2011-02-01,31.76,34.03,31.17,32.98,7780100,32.02
2011-01-03,32.49,33.78,30.75,31.53,9729700,30.49
2010-12-01,31.01,33.15,31.01,32.13,5471600,31.08
2010-11-01,28.68,31.51,28.44,30.60,8219700,29.60
2010-10-01,25.89,28.80,25.37,28.56,7076800,27.51
2010-09-01,23.18,26.57,23.03,25.55,7569500,24.61
2010-08-02,25.02,25.72,22.50,22.98,7989200,22.13
2010-07-01,24.43,26.44,23.47,24.85,9788500,23.81
2010-06-01,25.75,28.50,24.27,24.30,10626100,23.28
2010-05-03,26.02,27.93,24.07,25.89,12268900,24.80
2010-04-01,24.54,27.59,23.95,25.98,9869200,24.89
2010-03-01,22.93,26.00,22.87,24.27,9294700,23.16
2010-02-01,21.99,23.46,21.26,22.91,8277100,21.86
2010-01-04,23.32,24.45,21.75,21.79,11213900,20.79
2009-12-01,21.95,23.95,20.95,23.06,9131800,22.00
2009-11-02,18.98,22.10,18.85,21.90,11518200,20.89
2009-10-01,20.54,21.11,18.69,18.98,10209400,18.11
2009-09-01,18.98,20.94,18.21,20.65,12554100,19.70
2009-08-03,17.98,19.85,17.67,18.99,12259300,18.12
2009-07-01,13.98,17.90,12.76,17.70,15733000,16.89
2009-06-01,14.57,15.40,13.54,13.89,12828200,13.25
2009-05-01,14.42,14.50,12.52,14.39,14763100,13.73
2009-04-01,10.99,15.44,10.81,14.46,17234200,13.80
2009-03-02,8.98,12.43,8.12,11.11,13618600,10.60
2009-02-02,9.26,10.77,8.90,9.15,13553800,8.73
2009-01-02,9.41,10.36,8.50,9.44,12327700,9.01
2008-12-01,8.63,10.37,7.93,9.46,10758700,9.03
2008-11-03,12.67,13.15,7.06,8.93,17471500,8.52
2008-10-01,14.56,15.06,9.16,13.13,17651000,12.53
2008-09-02,15.96,16.82,14.13,14.87,13818400,14.19
2008-08-01,14.90,17.18,14.01,15.56,12810200,14.85
2008-07-01,15.56,16.05,13.33,14.69,16626800,14.02
2008-06-02,18.17,18.56,15.73,15.74,12765700,15.02
2008-05-01,15.96,18.41,15.68,18.19,15618000,17.35
2008-04-01,17.83,18.89,15.39,16.23,16043200,15.48
2008-03-03,18.02,18.50,16.77,17.50,15459300,16.70
2008-02-01,18.97,19.35,17.75,17.98,13260300,17.15
2008-01-02,20.14,21.01,17.66,18.91,24534800,18.04
2007-12-03,23.23,23.43,19.89,20.47,12201200,19.53
2007-11-01,26.40,26.68,21.77,23.39,20232800,22.32
2007-10-01,26.27,26.92,25.63,26.68,9327000,25.46
2007-09-04,27.67,28.19,25.95,26.20,11225900,25.00
2007-08-01,26.51,28.60,26.03,27.55,12381800,26.29
2007-07-02,26.40,28.50,25.63,26.68,16492900,25.46
2007-06-01,28.80,29.15,25.22,26.24,18001300,25.04
2007-05-01,31.16,31.90,28.03,28.81,15132000,27.49
2007-04-02,31.54,32.30,30.30,31.02,9228800,29.60
2007-03-01,30.20,32.45,28.86,31.36,12966000,29.92
2007-02-01,35.13,35.42,30.24,30.90,10784200,29.48
2007-01-03,35.60,36.61,33.49,34.94,8635100,33.34
2006-12-01,35.25,37.14,34.90,35.42,5455800,33.79
2006-11-01,37.99,40.01,35.16,35.29,8192600,33.67
2006-10-02,34.15,39.50,33.61,37.75,8627800,36.02
2006-09-01,31.61,35.04,30.53,34.05,8194200,32.49
2006-08-01,33.99,33.99,28.72,31.01,11989600,29.59
2006-07-03,37.96,38.33,32.93,34.23,7994000,32.66
2006-06-01,35.49,38.02,34.91,37.76,6046900,36.03
2006-05-01,37.63,39.88,34.60,35.65,7918100,34.01
2006-04-03,37.98,39.50,36.77,37.27,5459000,35.56
2006-03-01,36.33,38.11,34.73,37.63,5098500,35.90
2006-02-01,31.28,36.87,31.14,36.32,6791500,34.65
2006-01-03,30.57,32.32,29.90,31.70,4410800,30.24
2005-12-01,30.34,32.46,29.94,30.01,4481200,28.63
2005-11-01,28.30,32.00,28.07,30.45,5806500,29.05
2005-10-03,50.31,55.25,26.87,28.28,7031700,26.98
2005-09-01,49.80,50.16,46.01,50.10,6704000,23.90
2005-08-01,52.55,52.77,48.00,49.03,5057900,23.39
2005-07-01,51.73,54.39,49.28,52.55,7140300,25.07
2005-06-01,54.92,56.90,51.52,51.66,5501900,24.64
2005-05-02,49.90,55.72,49.20,54.79,6564900,26.14
2005-04-01,52.23,52.38,44.58,49.52,10609100,23.62
2005-03-01,51.89,55.59,50.72,51.66,6383600,24.64
2005-02-01,54.16,54.98,49.14,51.81,8706700,24.72
2005-01-03,63.29,63.34,52.10,54.00,12119800,25.76
2004-12-01,56.33,64.26,56.29,62.36,6022800,29.75
2004-11-01,52.92,57.00,52.60,56.26,6063200,26.84
2004-10-01,45.97,53.25,45.29,52.88,7314000,25.23
2004-09-01,42.99,46.29,42.79,45.46,5226800,21.69
2004-08-02,46.87,47.13,42.05,43.24,7669800,20.63
2004-07-01,44.65,48.40,44.02,46.99,7604900,22.42
2004-06-01,40.70,44.40,40.62,43.49,6077200,20.75
2004-05-03,38.82,41.20,37.03,40.60,6205400,19.37
2004-04-01,38.14,39.91,36.74,38.92,5974400,18.57
2004-03-01,37.89,38.74,36.51,37.87,6473300,18.07
2004-02-02,36.82,39.68,36.00,37.40,7621800,17.84
2004-01-02,33.45,36.81,32.90,36.61,7217800,17.46
2003-12-01,32.08,33.43,31.42,33.16,4838700,15.82
2003-11-03,31.36,33.05,30.00,32.17,5819000,15.35
2003-10-01,29.04,32.00,28.80,31.60,5073600,15.07
2003-09-02,28.09,30.95,28.06,28.80,7880600,13.74
2003-08-01,27.40,28.53,26.00,28.39,5088200,13.54
2003-07-01,24.95,27.77,24.78,27.33,8161600,13.04
2003-06-02,24.56,25.46,23.75,24.55,7069500,11.71
2003-05-01,23.42,24.83,22.80,24.67,9829400,11.77
2003-04-01,25.81,26.87,23.35,23.51,10588300,11.22
2003-03-03,23.62,26.52,22.20,25.76,9391900,12.29
2003-02-03,22.67,23.52,21.60,23.45,8353500,11.19
2003-01-02,20.47,23.30,19.62,22.72,8963600,10.84
2002-12-02,22.00,22.09,20.18,20.38,6944100,9.72
2002-11-01,24.05,24.16,20.85,21.74,7750700,10.37
2002-10-01,20.66,24.10,20.66,23.84,9692200,11.37
2002-09-03,19.99,21.57,19.60,20.66,7485100,9.86
2002-08-01,19.52,21.82,18.47,20.10,7705600,9.59
2002-07-01,24.42,24.96,18.44,19.63,11228600,9.36
2002-06-03,24.30,25.30,22.44,24.85,9265500,11.85
2002-05-01,22.85,24.50,21.93,24.28,8507600,11.58
2002-04-01,23.07,25.70,22.64,22.82,7910900,10.89
2002-03-01,23.56,24.53,22.35,23.13,6709500,11.03
